축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
해운대 수목원 야외콘서트,해운대수목원,5/1/24,5/1/24,3개 구립예술단 및 대중가수 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
청소년오케스트라 음악소풍,APEC 나루공원,5/1/24,5/1/24,청소년오케스트라 상반기 야외연주회,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
청사포 바다콘서트,청사포 일대,6/1/24,6/1/24,오케스트라 클래식 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
찾아가는 마음나눔 음악회(반여3동),반여3동 초록공원,6/1/24,6/1/24,어르신들을 위한 맞춤형 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
찾아가는 영화관Ⅰ,대천공연,7/1/24,7/1/24,야외 영화관 상영,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
영화의 거리 영화음악 콘서트,영화의 거리,8/1/24,8/1/24,영화+음악 해설이 있는 영화음악 콘서트 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
세대공감+신나는 풍류 콘서트,해운대해수욕장,8/1/24,8/1/24,고향사랑기부제 기금제안사업(선정시 진행),부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
찾아가는 영화관Ⅱ (드라이브-인-시네마),해운대수목원,9/1/24,9/1/24,야외 영화관 상영,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
반여1동 수영강 콘서트,수영강 시민공원,10/1/24,10/1/24,라이브 대중가수 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
땅끝 해넘이·해맞이 축제,땅끝마을일원,12/31/22,1/1/23,해넘이제례+달집태우기+해맞이 등,땅끝해넘이·해맞이축제추진위원회,땅끝해넘이·해맞이축제추진위원회,전라남도 해남군청,061-531-3161,www.haenam.go.kr,,전라남도 해남군 송지면 땅끝마을길 70-14,전라남도 해남군 송지면 송호리 1127-4,34.29820555,126.5293719,5/23/22,4930000,전라남도 해남군
곡성세계장미축제,섬진강기차마을,5/20/23,5/29/23,세계 유명 장미로 이뤄진 공원에서 다양한 공연과 이벤트 개최,전라남도 곡성군청,전라남도 곡성군청,,061-360-8471,www.gokseong.go.kr,,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,,,12/4/23,4860000,전라남도 곡성군
기차마을아이스페스티벌,섬진강기차마을 플랫폼 광장,7/29/23,7/30/23,피서형 페스티벌,전라남도 곡성군청,전라남도 곡성군청,,061-360-8471,www.gokseong.go.kr,,전라남도 곡성군 곡성읍 곡성로 855,전라남도 곡성군 곡성읍 읍내리 254,,,12/4/23,4860000,전라남도 곡성군
곡성심청어린이대축제,섬진강기차마을,10/6/23,10/9/23,어린이 중심 콘텐츠로 캐릭터 공연과 가족형 이벤트 개최,전라남도 곡성군청,전라남도 곡성군청,,061-360-8471,www.gokseong.go.kr,,전라남도 곡성군 오곡면 기차마을로 233,전라남도 곡성군 오곡면 오지리 770-5,,,12/4/23,4860000,전라남도 곡성군
2023 춘천연극제,봄내극장,7/1/23,10/28/23,관객과 함께 웃고 호흡하는 연극제,(사)춘천연극제,(사)춘천연극제+G1방송,강원특별자치도청+강원특별자치도 춘천시청+신한은행+강원도개발공사+한국수력원자력 한강수력본부+강원대학교+KBSJOB(주)한국고용정보+(주)미디어,033-241-4345,,,강원특별자치도 춘천시 서부대성로 71,강원특별자치도 춘천시 옥천동 73-2,37.882374,127.731332,1/31/24,4181000,강원특별자치도 춘천시
2023 춘천오페라페스티발,KT&G 상상마당 춘천 야외무대,9/14/23,9/16/23,오페라 토스카 전막공연+사전행사,(사)춘천오페라페스티벌조직위원회,(사)춘천오페라페스티벌조직위원회,G1방송+텐즈클럽플러스,,,,강원특별자치도 춘천시 스포츠타운길399번길 25,강원특별자치도 춘천시 삼천동 223-2,37.873618,127.702092,1/31/24,4181000,강원특별자치도 춘천시
마임프린지,축제극장몸짓,3/2/23,3/5/23,신진예술가들의 자유로운 창작 공연,춘천마임축제,춘천마임축제,,033-244-7556,,,강원특별자치도 춘천시 춘천로 112,강원특별자치도 춘천시 효자동 531,37.873069,127.727824,1/31/24,4181000,강원특별자치도 춘천시
마임프린지 시민 심사단 모집,축제극장몸짓,2/13/23,2/24/23,신진예술가들의 자유로운 창작 공연,춘천마임축제,춘천마임축제,,033-244-7556,,,강원특별자치도 춘천시 춘천로 112,강원특별자치도 춘천시 효자동 531,37.873069,127.727824,1/31/24,4181000,강원특별자치도 춘천시
명량대첩축제,우수영 일원,9/23/22,9/25/22,출정식+해전재현+공군에어쇼+조선수군재건+이순신리더십캠프 등,(재)명량대첩기념사업회,(재)명량대첩기념사업회,"전라남도,+전라남도 해남군청+전라남도 진도군청",061-530-5158,www.mldc.kr,,전라남도 해남군 문내면 관광레저로 12,,,,5/23/22,4930000,전라남도 해남군
북평용줄다리기 축제,북평힐링공원,10/29/22,10/29/22,줄고사+용줄다리기+달집태우기 등,북평용줄다리기보존회,북평용줄다리기보존회,전라남도 해남군청,061-530-5159,www.haenam.go.kr,,,전라남도 해남군 북평면 남창리 1276-3,,,5/23/22,4930000,전라남도 해남군
해남미남축제,해남군 일원,11/4/22,11/6/22,공식행사(개·폐회식)+공연행사+전시·체험+음식·특산물 판매 등,해남군축제추진위원회,해남군축제추진위원회,전라남도 해남군청,061-530-5158,www.haenam.go.kr,,전라남도 해남군 삼산면 대흥사길 400,,,,5/23/22,4930000,전라남도 해남군
태화강마두희축제,울산 중구 원도심 일원,6/23/23,6/25/23,마두희(줄당기기)+공연+전시+체험+전통+부대행사 등,태화강마두희축제추진위원회,울산광역시 중구청,,052-244-2008,http://ulsanmaduhee.co.kr/pages/index.html,,울산광역시 중구 문화의거리 38,울산광역시 중구 옥교동 239-1,35.5569759,129.3219495,2/27/24,B551011,한국관광공사
통영한산대첩축제,통영 강구안 문화마당+통영시 일원,8/4/23,8/12/23,삼도수군통제사 행차+임진왜란 3대 대첩지_삼도수군 군점 및 수조 재현+한산대첩 재현_통영 거북선 노젓기대회+행사+공연 등,(재)통영한산대첩문화재단,경상남도 통영시청,,055-644-5222,https://tyhansancf.or.kr/,,경상남도 통영시 세병로 27,경상남도 통영시 문화동 62 삼도수군통제영(세병관),34.84715495,128.423489,2/27/24,B551011,한국관광공사
평창송어축제,진부면 오대천일원,12/29/23,1/28/24,얼음낚시+텐트낚시+어린이낚시터+황금송어맨손잡기+얼음광장체험놀이 등,평창송어축제위원회,강원특별자치도 평창군청,문화체육관광부+강원특별자치도청+ 한국관광공사,033-336-4000,http://www.festival700.or.kr,,강원특별자치도 평창군 진부면 경강로 3562,강원특별자치도 평창군 진부면 하진부리 325,37.6332028,128.5570396,2/27/24,B551011,한국관광공사
평창효석문화제,효석문화마을 일원,9/8/23,9/17/23,메밀음식체험+전통민속놀이+감성마당+문화마당+자연마당,사)이효석문학선양회,사)이효석문학선양회,강원특별자치도청+강원특별자치도 평창군청+문화체육관광부+한국관광공사,033-335-2323,http://www.hyoseok.com,,,강원특별자치도 평창군 봉평면 원길리 765-5,37.6131983,128.3710862,2/27/24,B551011,한국관광공사
포항국제불빛축제,형산강 체육공원 일원,5/26/23,5/28/23,불빛 퍼레이드+개막식 및 퍼포먼스+국제 불꽃쇼+멀티미디어쇼+DJ PARTY,(재)포항문화재단,경상북도 포항시청,에코프로+대구은행+농협+세아제강+금복주,054-289-7852,http://festival.phcf.or.kr/fireWorks/intro.do,,,경상북도 포항시 남구 해도동 115-1,36.0176015,129.3745089,2/27/24,B551011,한국관광공사
하동야생차문화축제,하동군 일원,5/4/23,6/3/23,시배지헌다례 공연+대한민국명창대전+하동세계차엑스포,(사)하동야생차문화축제조직위원회,(사)하동야생차문화축제조직위원회,,055-880-2052,http://www.wildteafestival.kr/contents1,,경상남도 하동군 화개면 쌍계로 571-25,경상남도 하동군 화개면 운수리 664,35.22773215,127.6426521,2/27/24,B551011,한국관광공사
한산모시문화제,한산모시관+한산전통시장 일원,6/9/23,6/11/23,한산모시짜기 체험+부대프로그램+체험프로그램,한산모시문화제추진위원회,충청남도 서천군청,문화체육관광부+ 충청남도청+ NH농협은행 서천군지부+신협중앙회,041-950-4256,www.hansanmosi.kr/,,충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.0799446,126.7987038,2/27/24,B551011,한국관광공사
한탄강얼음트레킹축제,철원 한탄강 물윗길 트레킹 코스 일원,1/13/24,1/21/24,공연+행사+포토존+아이스 썰매존+아이스 겨울 놀이터+아이스 고드름 터널+픽토그램 눈썰매장 등,철원문화재단,철원문화재단,강원특별자치도 철원군청+철원군의회,033-455-7072,https://gcwcf.or.kr/w1_c_6_1/4,,강원특별자치도 철원군 동송읍 한탄강길 208,강원특별자치도 철원군 동송읍 장흥리 725,38.20344715,127.2700356,2/27/24,B551011,한국관광공사
함평나비축제,함평엑스포공원,4/26/24,5/6/24,나비날리기 체험+문화예술공연+전시행사 등,(재)함평축제관광재단,전라남도 함평군청,,061-320-2238,https://www.hpftf.or.kr/,,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2/27/24,B551011,한국관광공사
화성뱃놀이축제,화성시 전곡항+제부도 일원,5/31/24,6/2/24,풍류단의 항해+바람의 사신단 댄스 퍼레이드+천해 유람단+문화자원 연계 프로그램+공연 프로그램 등,화성시문화재단,경기도 화성시청,,031-356-8542,https://hs-boatingfestival.com/,,경기도 화성시 서신면 전곡항로 5,경기도 화성시 서신면 전곡리 1076 전곡마리나클럽하우스,37.18560049,126.651015,2/27/24,B551011,한국관광공사
화천산천어축제,강원특별자치도 화천군 화천읍 화천천일원,1/6/24,1/28/24,얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등,재단법인 나라,재단법인 나라,강원특별자치도청+강원특별자치도 화천군청,1688-3005,www.narafestival.com,,강원특별자치도 화천군 화천읍 산천어길 137,강원특별자치도 화천군 화천읍 중리 186-5,38.11250161,127.7098432,2/27/24,B551011,한국관광공사
국악의 향연,꽃바위문화관 3층 다목적공연장,5/24/21,5/24/21,국악,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2/23/24,3710000,울산광역시 동구
리차드 로의 재즈톡,꽃바위문화관 3층 다목적공연장,6/24/21,6/24/21,재즈,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2/23/24,3710000,울산광역시 동구
나 때는 말이야,꽃바위문화관 3층 다목적공연장,7/22/21,7/22/21,힙합,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2/23/24,3710000,울산광역시 동구
동백섬문화관광축제,동백섬 일원,10/1/24,10/1/24,최치원추념헌공다례+기로연진다례 등,해운대문화예술원,해운대문화예술원,부산광역시 해운대구청,051-749-4064,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,3/15/24,3330000,부산광역시 해운대구
일림산 철쭉문화행사,일림산 주차장,5/4/24,5/6/24,문화공연행사+참여체험행사 등,일림산철쭉문화행사추진위원회,일림산철쭉문화행사추진위원회,,061-850-5482,,,전라남도 보성군 웅치면 용추덕림길 89-113,전라남도 보성군 웅치면 산123-10,34.692283,127.013334,4/16/24,4890000,전라남도 보성군
보성어린이날,한국차문화공원,5/5/24,5/5/24,먹거리+체험마당+놀이마당+도전골든벨 등,사단법인 보성문화재단,사단법인 보성문화재단,,061-853-1060,,,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1197,34.71987643,127.0817099,4/16/24,4890000,전라남도 보성군
보성녹차마라톤대회,보성공설운동장,5/4/24,5/4/24,Full+Half+10km+5km 종목별 마라톤,보성군체육회,전국마라톤연합회,전라남도+전라남도 보성군+전라남도체육회 등,061-852-3258,,,전라남도 보성군 보성읍 용문길 18,전라남도 보성군 보성읍 보성리 338,34.77375425,127.0940852,4/16/24,4890000,전라남도 보성군
태백 커플축제,통리 태양의 후예 공원 일원,9/17/22,9/18/22,문화공연+체험행사+커플이벤트 등,태백커플축제위원회,"황연동, 황연동주민자치위원회",강원도 태백시청,033-552-1371,http://tbcf.or.kr/,,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172,12/5/22,4220000,강원도 태백시
한강 낙동강 발원지 축제,황지연못(문화광장)+중앙로+ 검룡소 등,7/29/22,8/7/22,물놀이난장+공연+체험행사+부스 운영 등,태백시문화재단,태백시문화재단,강원도 태백시청,033-553-6900,http://tbcf.or.kr/,,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172,12/5/22,4220000,강원도 태백시
마임프린지 시민 심사단 모집,축제극장몸짓,3/3/22,3/5/22,신진예술가들의 자유로운 창작 공연,춘천마임축제,춘천마임축제,,033-244-7556,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10198&search_type=1&search_keyword=EBA788EC9E84ED9484EBA6B0ECA780,공연관람,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.873069,127.727824,1/12/23,4180000,강원도 춘천시
계촌클래식축제,방림면 계촌리 계촌마을 일원,5/26/23,5/28/23,토크콘서트+재즈콘서트 등 클래식 공연,서울예술종합학교+계촌클래식축제위원회,정몽구 재단 + 강원특별자치도 평창군청,강원특별자치도청,070-7781-4847,계촌클래식마을.kr/gyechon,,,강원특별자치도 평창군 방림면 계촌리 1440,37.4530586,128.3059711,7/28/23,4281000,강원특별자치도 평창군
평창효석문화제,봉평면 효석문화마을 일원,9/8/23,9/17/23,효석 백일장+문학100리길 걷기 등,(사)이효석문학선양회,강원특별자치도 평창군청,문화체육관광부+강원특별자치도청,033-335-2323,http://www.hyoseok.com/sub02_01,,,강원특별자치도 평창군 봉평면 원길리 765-5,37.6132156,128.371091,7/28/23,4281000,강원특별자치도 평창군
평창백일홍축제,평창읍 평창강 일원,9/22/23,10/1/23,백일홍 산책길 걷기 + 떡메치기 체험,평창백일홍축제위원회,강원특별자치도 평창군청,강원특별자치도 평창군청,033-335-6033,http://www.101hongfestival.co.kr/intro,,강원특별자치도 평창군 평창읍 제방길 81,강원특별자치도 평창군 평창읍 종부리 986,37.36086086,128.3828721,7/28/23,4281000,강원특별자치도 평창군
평창농악축제,용평면 장평리 일원,9/2/22,9/5/22,전국 농악 공연 + 민속놀이 체험,평창농악축제위원회,강원특별자치도 평창군청,강원특별자치도 평창군청,033-332-4333,농악축제.kr,,강원특별자치도 평창군 용평면 갈정지길 7,강원특별자치도 평창군 용평면 장평리 380-2,37.58939405,128.4160143,7/28/23,4281000,강원특별자치도 평창군
2023년 우도 하고수동해수욕장 썸머 페스티벌,우도 하고수동 해수욕장,8/13/23,8/13/23,댄스팀(브랜뉴걸)·초대가수 공연(황기동)·MC와 객석의 소통의 시간·초대가수 공연(박상민)·폐막식·불꽃놀이,오봉리 주민자치센터,제주특별자치도 제주시 우도면,,064-783-0568,,,제주특별자치도 제주시 우도면 우도로 153,,33.5064381,126.9529777,12/5/23,6500000,제주특별자치도
도두오래물축제,오래물광장 및 도두항 일원,8/11/23,8/13/23,개막식·체험프로그램 등,도두오래물축제위원회,도두일동마을회,,064-728-4961,,,제주특별자치도 제주시 도두항길 26,,33.50685457,126.4669802,12/5/23,6500000,제주특별자치도
입맛도심,탑동·중앙로·관덕정·칠성로·산지천,9/15/23,10/15/23,제주 원도심의 밤을 채우는 야간 미식 브랜드를 소개 드립니다,제주관광공사,제주특별자치도,,,www.instagram.com/tastytown_jeju,,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,,,,12/5/23,6500000,제주특별자치도
본태박물관 쿠사마야요이 특별전시 <Seeking the Soul>,본태박물관,9/1/23,2/29/24,다시 찾아온 전설 현대미술의 살아있는 신화 쿠사마야요 특별전시가 본태박물관에서 열린다,본태박물관,본태박물관,,0507-1342-810,www.instagram.com/bontemuseum/,,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,,33.30395481,126.392516,12/5/23,6500000,제주특별자치도
진도신비의바닷길축제,진도청소년수련관 일원,3/11/24,3/13/24,바닷길 미디어아트+바닷길체험+스탬프랠리+해상풍물뱃놀이+민속민요 공연 등,진도군축제추진위원회,전라남도 진도군청,,061-540-3408,https://www.jindo.go.kr/tour/sub.cs?m=99,,전라남도 진도군 고군면 신비의바닷길 74,전라남도 진도군 고군면 금계리 153-1,34.43275415,126.3518288,2/27/24,B551011,한국관광공사
진안홍삼축제,마이산 북부일원,9/22/23,9/24/23,홍삼제품만들기 체험+홍삼랜드 스탬프투어+홍삼판매+문화공연 등,진안홍삼축제추진위원회,전북특별자치도 진안군청,문화체육관광부+전북특별자치도청,063-430-2392,https://www.jinan.go.kr/festival/,,전북특별자치도 진안군 진안읍 마이산로 160,전북특별자치도 진안군 진안읍 단양리 778-3,35.77322296,127.4162559,2/27/24,B551011,한국관광공사
진주유등축제,진주성+진주남강일원,10/8/23,10/22/23,개제식(초혼점등)+소망등 달기+추억의 유등띄우기+창작등 전시+진주성 둘레길등 전시+한국의 등·세계풍물등 전시 등,진주남강유등축제제전위원회,경상남도 진주시청+진주문화예술재단,문화체육관광부+경상남도청+한국관광공사+경상남도교육청+언론기관,055-761-9111,http://www.yudeung.com,,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,35.19043372,128.0802222,2/27/24,B551011,한국관광공사
천안흥타령축제,천안종합운동장+천안시 일원,10/5/23,10/9/23,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,(재)천안문화재단,(재)천안문화재단,,041-900-7397,https://cheonanfestival.com/ko/,,충청남도 천안시 서북구 번영로 208,충청남도 천안시 서북구 백석동 251 종합운동장,36.81910075,127.1133052,2/27/24,B551011,한국관광공사
청송사과축제,청송읍 용전천 변(현비암 일원),11/1/23,11/5/23,공연+청송사과 퍼레이드+청송꽃줄엮기 전국대회+사과왕 선발대회+전시판매 프로그램 등,청송군축제추진위원회,경상북도 청송군청,문화체육관광부+경상북도청+청송군의회+청송경찰서+청송교육지원청+청송군관내농협+(사)청송사과협회+청송사과유통센터+(재)청송문화관광재단,054-873-3686,https://www.cs.go.kr/tour/00004559/00004588.web?amode=view&idx=111&,,경상북도 청송군 청송읍 금월로 269,경상북도 청송군 청송읍 월막리 368-2,36.43304251,129.0559778,2/27/24,B551011,한국관광공사
추억의 충장축제,광주광역시 동구 충장로,10/5/23,10/9/23,충장 월드 퍼레이드+추억의 테마거리+추억 재현 프로젝트+맛의 추억 탐험대 등,광주광역시 동구청,광주광역시 동구청,문화체육관광부,062-608-4681,https://www.donggu.kr/index.es?sid=c8,,광주광역시 동구 서남로 1(서석동),광주광역시 동구 서석동 31,35.1461417,126.9230497,2/27/24,B551011,한국관광공사
춘천마임축제,춘청 중앙로+커먼즈필드 춘천+함악산 호수 케이블카 공영주차장 일원+축제극장 몸짓+춘천문화예술회관 등,5/28/23,6/4/23,극장공연+거리마임공연+봄의도시/물의도시/불의도시 공연,(사) 춘천마임축제,(사)춘천마임축제+KBS춘천방송총국+G1방송,문화체육관광부+강원특별자치도청+강원특별자치도 춘천시청+한국관광공사+한국문화예술위원회+한국메세나협회,033-242-0585,mimefestival.com,,강원특별자치도 춘천시 춘천로 112,강원특별자치도 춘천시 효자동 531,37.8730209,127.7278102,2/27/24,B551011,한국관광공사
탐라문화제,제주시 산지천+칠성로 원도심+탐라문화광장,10/6/23,10/10/23,탐라개벽신위제+탐라퍼레이드+민속체험+탐라예술무대+참여행사 등,탐라문화제추진위원회,제주특별자치도청+한국예총제주도연합회,문화체육관광부+제주특별자치도의회+제주특별자치도교육청+제주특별자치도관광공사+제주특별자치도관광협회+제주농협,064-753-3287,http://www.tamnafestival.kr/,,제주특별자치도 제주시 중앙로 2,제주특별자치도 제주시 삼도이동 1262,33.51814757,126.5239547,2/27/24,B551011,한국관광공사
2017 물의나라화천 쪽배축제,강원도 화천군 화천읍 붕어섬일원,7/29/17,8/13/17,"물놀이장, 산천호경주대회, 창작쪽배콘테스트 등",(재)나라,강원도 화천군청,,1688-3005,www.narafestival.com,,강원도 화천군 화천읍 강변로 2-54,강원도 화천군 화천읍 하리 243,38.1007316,127.6970642,12/6/22,4310000,강원도 화천군
2017 얼음나라화천 산천어축제,강원도 화천군 화천읍 화천천일원,1/14/17,2/5/16,"얼음낚시, 맨손잡기, 눈얼음체험, 얼음조각광장 등",(재)나라,강원도 화천군청,문화체육관광부,1688-3005,www.narafestival.com,,강원도 화천군 화천읍 산천어길 137,강원도 화천군 화천읍 중리 186-5,38.112578,127.709826,12/6/22,4310000,강원도 화천군
구문소용축제,구문소관광단지 일원,8/13/22,8/14/22,용신제+전통공연+체험프로그램,구문소축제위원회,구문소축제위원회,강원도 태백시청,033-581-6904,http://tbcf.or.kr/,,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172,12/5/22,4220000,강원도 태백시
2021조운플레잉 모두가어린이라면,춘천지하상가+춘천시청광장,6/26/21,6/27/21,"공연, 체험, 퍼레이드와 어린이플리마켓을 진행한다.",조운동도시재생현장지원센터,강원도 춘천시청,강원도 춘천시청,033-250-4938,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7653&search_type=1&search_keyword=ECA1B0EC9AB4ED948CEBA088EC9E89,전시관람,강원도 춘천시 중앙로 51-2+강원도 춘천시 시청길11,강원도 춘천시 중앙로2가 116+강원도 춘천시 옥천동 111-1 춘천시청,37.881231,127.730012,1/12/23,4180000,강원도 춘천시
책 보러 가지 않을래,춘천문화예술회관 전시장,5/30/21,5/30/21,"소양하다, 파피루스 ,서툰책방, 첫서재 공간의 주인장들의 감성이 스며있는 책들과 굿즈를 선보인다.",강원민족미술인협회,강원도청,강원도청,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7646&search_type=1&search_keyword=ECB185+EBB3B4EB9FAC+EAB080ECA780+EC958AEC9D84EB9E983F,전시관람,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12 춘천문화예술회관,37.87261579,127.7293405,1/12/23,4180000,강원도 춘천시
춘천마임축제 봄시즌,춘천시내 다수지역,5/23/21,5/29/21,2021년 우리의 잃어버린 봄을 찾기위한 무언의 몸짓으로 시민과 예술가의 봄을 찾는 공연,(사)춘천마임축제,(사)춘천마임축제+KBS방송총국+춘천MBC,문화체육관광부+강원도청+강원도 춘천시청+한국관광공사+남이섬교육문화그룹+나미나라공화국남이섬+한림대학교춘천성심병원+한국문화예술위원회+한국메세나협회,033-242-0585,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7642&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C+EBB484EC8B9CECA68C,전시관람,강원도 춘천시 춘천로 112 축제극장몸짓,강원도 춘천시 효자동 531,37.873089,127.727845,1/12/23,4180000,강원도 춘천시
춘천인형극제 코코바우 놀이터 자연아 놀러와,춘천인형극장,4/24/21,7/24/21,"자연의 흐름을 주제로 모두 함께 인형극, 만들기를 즐기며 자연을 느낄 수 있다.",춘천인형극제,춘천인형극제,강원도 춘천시청,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7629&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C5D+ECBD94ECBD94EBB094EC9AB0+EB8680EC9DB4ED84B0+3A+EC9E90EC97B0EC9584+EB8680EB9FACEC998021,전시관람,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3 춘천인형극장,37.92101625,127.720197,1/12/23,4180000,강원도 춘천시
제8회 철원 한탄강 얼음트레킹,철원 한탄강 및 승일공원 일원,1/18/20,1/27/20,"개막행사, 얼음트레킹, 똥바람 알통구보대회 등",철원군축제위원회,철원군,철원군의회+한국관광공사+블랙야크,033-450-5255,https://www.cwgfestival.com,,,강원도 철원군 갈말읍 내대리 550,38.188522,127.300353,8/26/20,4301000,강원특별자치도 철원군
제13회 철원 화강 다슬기축제,김화생활체육공원 및 화강 일원,8/1/19,8/4/19,"개막행사, 황금다슬기잡기 등 체험프로그램, 축하공연 등",철원군축제위원회,철원군,강원도+한국관광공사+농협철원군지부,033-450-5255,https://www.cwgfestival.com,,강원도 철원군 김화읍 청양로 649,강원도 철원군 김화읍 청양리 1,38.249835,127.4136594,8/26/20,4301000,강원특별자치도 철원군
2019 송년콘서트 및 청소년페스티벌,철원실내체육관,12/16/19,12/17/19,"송년콘서트, 청소년페스티벌","철원군축제위원회, 철원교육지원청",철원군,,033-450-5255,https://www.cwgfestival.com,,강원도 철원군 갈말읍 갈말로 75,강원도 철원군 갈말읍 군탄리 1341,38.161341,127.303257,8/26/20,4301000,강원특별자치도 철원군
판교25통 힐링로드축제,분당판교청소년수련관,4/27/24,4/27/24,공방체험+문화공연+시민참여 플리마켓 등,성남시청소년재단,경기도 성남시,,031-729-9637,,,경기도 성남시 분당구 판교공원로4길 27,경기도 성남시 분당구 판교동 553,37.39189847,127.0908707,2/27/24,3780000,경기도 성남시
제18회 청계산 철쭉축제,수정구 상적동,4/27/24,4/27/24,문화공연+먹거리행사+경품행사 등,청계산 철쭉축제 추진위원회,경기도 성남시,,031-729-5882,,,,경기도 성남시 수정구 상적동 280-4,37.42643455,127.070772,2/27/24,3780000,경기도 성남시
효사랑 경로잔치,은행1동 행정복지센터 주차장,5/8/24,5/8/24,경로잔치(중식 접대)+문화공연 등,은행1동 유관단체,경기도 성남시,,031-729-6682,,,경기도 성남시 중원구 은행로 85,경기도 성남시 중원구 은행동 2192,37.45212158,127.1689239,2/27/24,3780000,경기도 성남시
지구촌 어울림 축제,성남시청 광장 일대,5/19/24,5/19/24,세계 문화 전시 및 체험부스+식전·식후공연 등,여성가족과(외국인주민복지지원센터),경기도 성남시,,031-729-3072,,,경기도 성남시 중원구 성남대로 997,경기도 성남시 중원구 여수동 200,37.42017754,127.12628,2/27/24,3780000,경기도 성남시
